order_id,user_id,restaurant_id,item_id,item_name,quantity,unit_price,order_date,order_hour,slot,is_weekend,order_total
ORD0000001,U0001,R033,I00316,Cold Brew Coffee,2,250.0,2025-06-29,19,Dinner,False,500.0
ORD0000001,U0001,R033,I00320,Prawn Biryani,2,240.0,2025-06-29,19,Dinner,False,980.0
ORD0000002,U0001,R056,I00544,Chilli Chicken,1,450.0,2024-05-01,8,Breakfast,False,450.0
ORD0000002,U0001,R056,I00546,Garlic Bread,1,70.0,2024-05-01,8,Breakfast,False,520.0
ORD0000002,U0001,R056,I00549,Kiwi Smoothie,1,460.0,2024-05-01,8,Breakfast,False,980.0
ORD0000002,U0001,R056,I00551,Nimbu Pani,1,40.0,2024-05-01,8,Breakfast,False,1020.0
ORD0000003,U0001,R066,I00644,Waffles,2,340.0,2024-11-30,0,Late-Night,False,680.0
ORD0000003,U0001,R066,I00643,Vanilla Shake,1,70.0,2024-11-30,0,Late-Night,False,750.0
ORD0000004,U0001,R079,I00771,Garlic Naan,1,60.0,2024-05-25,22,Dinner,False,60.0
ORD0000004,U0001,R079,I00770,Mango Lassi,1,90.0,2024-05-25,22,Dinner,False,150.0
ORD0000005,U0001,R005,I00043,Mysore Pak,1,180.0,2024-09-08,15,Lunch,True,180.0
ORD0000005,U0001,R005,I00047,Sugarcane Juice,1,260.0,2024-09-08,15,Lunch,True,440.0
ORD0000005,U0001,R005,I00046,Green Tea,1,60.0,2024-09-08,15,Lunch,True,500.0
ORD0000005,U0001,R005,I00050,Coleslaw,1,50.0,2024-09-08,15,Lunch,True,550.0
ORD0000005,U0001,R005,I00045,Matcha Latte,2,330.0,2024-09-08,15,Lunch,True,1210.0
ORD0000006,U0001,R005,I00047,Sugarcane Juice,1,260.0,2025-05-03,16,Tea-Time,False,260.0
ORD0000006,U0001,R005,I00045,Matcha Latte,1,330.0,2025-05-03,16,Tea-Time,False,590.0
ORD0000006,U0001,R005,I00046,Green Tea,2,60.0,2025-05-03,16,Tea-Time,False,710.0
ORD0000007,U0001,R037,I00358,Chole Bhature,1,160.0,2025-03-03,22,Dinner,True,160.0
ORD0000007,U0001,R037,I00359,Dahi Kebab,1,140.0,2025-03-03,22,Dinner,True,300.0
ORD0000007,U0001,R037,I00361,Shahi Tukda,1,200.0,2025-03-03,22,Dinner,True,500.0
ORD0000007,U0001,R037,I00363,Plain Dosa,1,350.0,2025-03-03,22,Dinner,True,850.0
ORD0000008,U0001,R004,I00034,Sev Puri,1,330.0,2024-03-10,20,Dinner,True,330.0
ORD0000008,U0001,R004,I00031,Sugarcane Juice,1,350.0,2024-03-10,20,Dinner,True,680.0
ORD0000008,U0001,R004,I00036,Mosambi Juice,1,300.0,2024-03-10,20,Dinner,True,980.0
ORD0000009,U0001,R024,I00227,Paneer 65,1,290.0,2025-12-11,21,Dinner,False,290.0
ORD0000009,U0001,R024,I00226,Sambar,1,190.0,2025-12-11,21,Dinner,False,480.0
ORD0000010,U0001,R004,I00037,Sweet Lassi,1,140.0,2024-04-29,19,Dinner,False,140.0
ORD0000011,U0001,R047,I00463,Mango Smoothie,1,100.0,2024-03-25,22,Dinner,False,100.0
ORD0000011,U0001,R047,I00461,Paneer Tikka Masala,1,280.0,2024-03-25,22,Dinner,False,380.0
ORD0000011,U0001,R047,I00456,Masala Chaas,1,100.0,2024-03-25,22,Dinner,False,480.0
