item_id,restaurant_id,item_name,cuisine,category,is_veg,price_tier,base_price,cuisine_encoded,category_encoded,price_tier_encoded,popularity_score,order_frequency,avg_order_qty,reorder_rate,cart_frequency,avg_cart_position,cart_add_rate,base_price_norm,popularity_score_norm,order_frequency_norm,avg_order_qty_norm,reorder_rate_norm,cart_frequency_norm,avg_cart_position_norm,cart_add_rate_norm
I00001,R001,Matar Paneer,North Indian,mains,True,Premium,280.0,5,2,2,0.443,71.0,1.0704225352112675,0.3783783783783784,55.0,0.2727272727272727,0.7638888888888888,0.4444444444444444,0.5883152173913043,0.6339285714285714,0.07042253521126751,0.6432432432432432,0.24886877828054302,0.11328671328671328,0.008986928104575163
I00002,R001,Dum Aloo,North Indian,mains,True,Premium,560.0,5,2,2,0.123,29.0,1.0,0.2857142857142857,14.0,0.21428571428571427,0.4666666666666667,0.9629629629629629,0.15353260869565216,0.2589285714285714,0.0,0.48571428571428565,0.06334841628959277,0.089010989010989,0.005490196078431373
I00003,R001,Butter Chicken,North Indian,mains,False,Mid,170.0,5,2,1,0.35,57.0,1.0526315789473684,0.3548387096774194,66.0,0.15151515151515152,1.1379310344827587,0.24074074074074076,0.46195652173913043,0.5089285714285714,0.05263157894736836,0.603225806451613,0.29864253393665163,0.06293706293706293,0.013387423935091278
I00004,R001,ABC Juice,Beverages,mains,True,Premium,440.0,0,2,2,0.658,82.0,1.1341463414634145,0.3953488372093023,108.0,0.25925925925925924,1.3012048192771084,0.7407407407407408,0.8804347826086957,0.7321428571428571,0.13414634146341453,0.6720930232558139,0.4886877828054299,0.10769230769230768,0.015308291991495393
I00005,R001,Missi Roti,North Indian,sides,True,Budget,50.0,5,3,0,0.075,0.0,1.0,0.0,0.0,0.0,0.0,0.01851851851851853,0.08831521739130434,0.0,0.0,0.0,0.0,0.0,0.0
I00006,R001,Green Tea,Beverages,mains,True,Premium,580.0,0,2,2,0.023,3.0,1.0,0.0,6.0,0.5,1.5,1.0,0.017663043478260868,0.026785714285714284,0.0,0.0,0.027149321266968326,0.20769230769230768,0.01764705882352941
I00007,R001,Seekh Kebab,North Indian,starters,False,Mid,160.0,5,4,1,0.454,68.0,1.1470588235294117,0.4444444444444444,70.0,0.15714285714285714,1.0144927536231885,0.2222222222222222,0.6032608695652174,0.6071428571428571,0.1470588235294117,0.7555555555555555,0.31674208144796384,0.06527472527472526,0.011935208866155159
I00008,R001,Tandoori Roti,North Indian,sides,True,Budget,130.0,5,3,0,0.245,39.0,1.1282051282051282,0.32,106.0,0.8584905660377359,2.65,0.16666666666666669,0.31929347826086957,0.3482142857142857,0.1282051282051282,0.544,0.4796380090497738,0.35660377358490564,0.03117647058823529
I00009,R001,Cold Brew Coffee,Beverages,mains,True,Premium,450.0,0,2,2,0.41,0.0,1.0,0.0,0.0,0.0,0.0,0.7592592592592593,0.5434782608695652,0.0,0.0,0.0,0.0,0.0,0.0
I00010,R001,Gunpowder Podi,South Indian,sides,True,Mid,170.0,6,3,1,0.044,7.0,1.2857142857142858,0.0,25.0,1.2,3.125,0.24074074074074076,0.04619565217391304,0.0625,0.2857142857142858,0.0,0.11312217194570137,0.4984615384615384,0.03676470588235294
I00011,R002,Paal Payasam,South Indian,desserts,True,Mid,270.0,6,1,1,0.482,54.0,1.1481481481481481,0.375,23.0,1.2173913043478262,0.41818181818181815,0.42592592592592593,0.6413043478260869,0.4821428571428571,0.14814814814814814,0.6375,0.10407239819004525,0.505685618729097,0.004919786096256684
I00012,R002,Coconut Chutney,South Indian,sides,True,Mid,170.0,6,3,1,0.149,21.0,1.0952380952380953,0.10526315789473684,27.0,0.8518518518518519,1.2272727272727273,0.24074074074074076,0.18885869565217392,0.1875,0.09523809523809534,0.1789473684210526,0.12217194570135748,0.3538461538461538,0.014438502673796792
I00013,R002,Masala Dosa,South Indian,mains,True,Mid,230.0,6,2,1,0.229,30.0,1.1,0.07407407407407407,41.0,0.0975609756097561,1.3225806451612903,0.35185185185185186,0.297554347826087,0.26785714285714285,0.10000000000000009,0.1259259259259259,0.18552036199095023,0.040525328330206375,0.015559772296015179
I00014,R002,Hakka Noodles,Chinese,mains,True,Mid,230.0,2,2,1,0.226,38.0,1.131578947368421,0.20689655172413793,59.0,0.03389830508474576,1.5128205128205128,0.35185185185185186,0.29347826086956524,0.33928571428571425,0.13157894736842102,0.35172413793103446,0.26696832579185525,0.01408083441981747,0.01779788838612368
I00015,R002,Badam Halwa,South Indian,desserts,True,Mid,180.0,6,1,1,0.286,36.0,1.1666666666666667,0.21428571428571427,9.0,1.0,0.24324324324324326,0.2592592592592593,0.375,0.3214285714285714,0.16666666666666674,0.36428571428571427,0.04072398190045249,0.41538461538461535,0.0028616852146263914
I00016,R002,Pav Bhaji,Street Food,mains,True,Mid,180.0,7,2,1,0.119,15.0,1.0666666666666667,0.16666666666666666,34.0,0.08823529411764706,2.125,0.2592592592592593,0.1480978260869565,0.13392857142857142,0.06666666666666665,0.2833333333333333,0.15384615384615385,0.03665158371040724,0.025
I00017,R002,Curd Rice,South Indian,sides,True,Mid,150.0,6,3,1,0.361,47.0,1.1702127659574468,0.29411764705882354,65.0,0.8307692307692308,1.3541666666666667,0.20370370370370372,0.47690217391304346,0.4196428571428571,0.17021276595744683,0.5,0.29411764705882354,0.3450887573964497,0.01593137254901961
I00018,R002,Thalassery Biryani,Biryani,mains,True,Mid,230.0,1,2,1,0.144,16.0,1.1875,0.16666666666666666,38.0,0.0,2.235294117647059,0.35185185185185186,0.18206521739130432,0.14285714285714285,0.1875,0.2833333333333333,0.1719457013574661,0.0,0.02629757785467128
I00019,R002,Set Dosa,South Indian,mains,True,Mid,190.0,6,2,1,0.047,4.0,1.0,0.0,8.0,0.375,1.6,0.2777777777777778,0.050271739130434784,0.03571428571428571,0.0,0.0,0.03619909502262444,0.15576923076923077,0.018823529411764708
I00020,R002,Wonton Soup,Chinese,sides,True,Budget,60.0,2,3,0,0.02,2.0,1.0,0.0,8.0,1.125,2.6666666666666665,0.03703703703703705,0.013586956521739132,0.017857142857142856,0.0,0.0,0.03619909502262444,0.46730769230769226,0.03137254901960784
I00021,R003,Cold Coffee,North Indian,beverages,True,Budget,70.0,5,0,0,0.204,44.0,1.2045454545454546,0.4074074074074074,101.0,1.3366336633663367,2.2444444444444445,0.05555555555555555,0.26358695652173914,0.39285714285714285,0.20454545454545459,0.6925925925925925,0.4570135746606335,0.5552170601675552,0.026405228758169936
I00022,R003,Egg Biryani,Biryani,mains,False,Premium,340.0,1,2,2,0.062,15.0,1.0666666666666667,0.0,19.0,0.05263157894736842,1.1875,0.5555555555555556,0.07065217391304347,0.13392857142857142,0.06666666666666665,0.0,0.08597285067873305,0.021862348178137647,0.013970588235294117
I00023,R003,Garlic Naan,North Indian,sides,True,Budget,90.0,5,3,0,0.031,8.0,1.25,0.0,17.0,1.0,1.8888888888888888,0.09259259259259262,0.028532608695652172,0.07142857142857142,0.25,0.0,0.07692307692307693,0.41538461538461535,0.02222222222222222
I00024,R003,Rajma Chawal,North Indian,mains,True,Mid,190.0,5,2,1,0.138,30.0,1.1666666666666667,0.2608695652173913,54.0,0.07407407407407407,1.7419354838709677,0.2777777777777778,0.1739130434782609,0.26785714285714285,0.16666666666666674,0.4434782608695652,0.24434389140271495,0.030769230769230764,0.02049335863377609
