feature,importance,importance_pct
reorder_rate_norm,242.01300072669983,44.87
cart_frequency_norm,98.48675012588501,18.26
popularity_score_norm,48.94143009185791,9.07
category_encoded,30.159209847450256,5.59
cart_add_rate_norm,29.191894736140966,5.41
avg_order_qty_norm,23.680619716644287,4.39
hour_cos,16.968340396881104,3.15
price_delta,13.579410076141357,2.52
base_price_norm,10.295730113983154,1.91
avg_cart_position_norm,9.14507007598877,1.7
price_tier_encoded,5.871150016784668,1.09
cart_value_before_add,5.723790168762207,1.06
order_frequency_norm,5.347990036010742,0.99
user_aff_north_indian,0.0,0.0
cuisine_encoded,0.0,0.0
